Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Spartan Brass - BRASS: Rehearsal vs Brass Rehearsal at 17:10:00,01/12/2026,05:10 PM,01/12/2026,06:00 PM,False,"Call Time: 17:10:00
Start Time: 17:10:00
Conductor: ALL",Dem Hall Ballroom,True
Spartan Brass - BRASS: MBB vs Indiana at 20:00:00,01/13/2026,07:15 PM,01/13/2026,10:30 PM,False,"Call Time: 19:15:00
Start Time: 20:00:00
Conductor: Golden",Breslin,True
Spartan Brass - BRASS: Rehearsal vs Brass Rehearsal at 17:10:00,01/14/2026,05:10 PM,01/14/2026,06:00 PM,False,"Call Time: 17:10:00
Start Time: 17:10:00
Conductor: ALL",Dem Hall Ballroom,True
Spartan Brass - White: WBB vs Nebraska at 19:00:00,01/15/2026,06:30 PM,01/15/2026,09:30 PM,False,"Call Time: 18:30:00
Start Time: 19:00:00
Conductor: Parker",Breslin,True
Spartan Brass - White: HOC vs Minnesota at 00:00:00,01/23/2026,,01/23/2026,,True,"Call Time: 23:40:00
Start Time: 00:00:00
Conductor: Gabriel",Munn Arena,True
Spartan Brass - BRASS: MBB vs Maryland at 12:00:00,01/24/2026,11:15 AM,01/24/2026,02:30 PM,False,"Call Time: 11:15:00
Start Time: 12:00:00
Conductor: Golden",Breslin,True
Spartan Brass - BRASS: Rehearsal vs Brass Rehearsal at 17:10:00,01/26/2026,05:10 PM,01/26/2026,06:00 PM,False,"Call Time: 17:10:00
Start Time: 17:10:00
Conductor: ALL",Dem Hall Ballroom,True
Spartan Brass - BRASS: Rehearsal vs Brass Rehearsal at 17:10:00,01/28/2026,05:10 PM,01/28/2026,06:00 PM,False,"Call Time: 17:10:00
Start Time: 17:10:00
Conductor: ALL",Dem Hall Ballroom,True
Spartan Brass - BRASS: MBB vs Michigan at 20:00:00,01/30/2026,07:15 PM,01/30/2026,10:30 PM,False,"Call Time: 19:15:00
Start Time: 20:00:00
Conductor: Golden",Breslin,True
Spartan Brass - BRASS: WBB vs Michigan at 12:00:00,02/01/2026,11:30 AM,02/01/2026,02:30 PM,False,"Call Time: 11:30:00
Start Time: 12:00:00
Conductor: Parker",Breslin,True
Spartan Brass - White: WBB vs Maryland at 18:30:00,02/04/2026,06:00 PM,02/04/2026,09:00 PM,False,"Call Time: 18:00:00
Start Time: 18:30:00
Conductor: Parker",Breslin,True
Spartan Brass - BRASS: MBB vs Illinois at 20:00:00,02/07/2026,07:15 PM,02/07/2026,10:30 PM,False,"Call Time: 19:15:00
Start Time: 20:00:00
Conductor: Golden",Breslin,True
Spartan Brass - Travel Band: HOC vs Michigan - Duel in the D at 18:30:00,02/07/2026,06:10 PM,02/07/2026,09:00 PM,False,"Call Time: 18:10:00
Start Time: 18:30:00
Conductor: Grads",LCA,True
Spartan Brass - BRASS: Rehearsal vs Brass Rehearsal at 17:10:00,02/09/2026,05:10 PM,02/09/2026,06:00 PM,False,"Call Time: 17:10:00
Start Time: 17:10:00
Conductor: ALL",Dem Hall Ballroom,True
Spartan Brass - BRASS: Rehearsal vs Brass Rehearsal at 17:10:00,02/16/2026,05:10 PM,02/16/2026,06:00 PM,False,"Call Time: 17:10:00
Start Time: 17:10:00
Conductor: ALL",Dem Hall Ballroom,True
Spartan Brass - BRASS: MBB vs UCLA at 20:30:00,02/17/2026,07:45 PM,02/17/2026,11:00 PM,False,"Call Time: 19:45:00
Start Time: 20:30:00
Conductor: Golden",Breslin,True
Spartan Brass - White: WBB vs Northwestern at 18:30:00,02/18/2026,06:00 PM,02/18/2026,09:00 PM,False,"Call Time: 18:00:00
Start Time: 18:30:00
Conductor: Parker",Breslin,True
Spartan Brass - White: HOC vs Notre Dame at 18:00:00,02/20/2026,05:40 PM,02/20/2026,08:30 PM,False,"Call Time: 17:40:00
Start Time: 18:00:00
Conductor: Trapani",Munn Arena,True
Spartan Brass - BRASS: MBB vs Ohio State at 13:00:00,02/22/2026,12:15 PM,02/22/2026,03:30 PM,False,"Call Time: 12:15:00
Start Time: 13:00:00
Conductor: Golden",Breslin,True
Spartan Brass - BRASS: Rehearsal vs Brass Rehearsal at 17:10:00,02/23/2026,05:10 PM,02/23/2026,06:00 PM,False,"Call Time: 17:10:00
Start Time: 17:10:00
Conductor: ALL",Dem Hall Ballroom,True
Spartan Brass - Green: HOC vs Ohio State at 20:30:00,02/27/2026,08:10 PM,02/27/2026,11:00 PM,False,"Call Time: 20:10:00
Start Time: 20:30:00
Conductor: Adams",Munn Arena,True
Spartan Brass - Alumni Brass: WBB vs Ohio State at 12:00:00,03/01/2026,11:30 AM,03/01/2026,02:30 PM,False,"Call Time: 11:30:00
Start Time: 12:00:00
Conductor: --",Breslin,True
Spartan Brass - Alumni Brass: MBB vs Rutgers at 20:00:00,03/05/2026,07:15 PM,03/05/2026,10:30 PM,False,"Call Time: 19:15:00
Start Time: 20:00:00
Conductor: --",Breslin,True
Spartan Brass - BRASS: Rehearsal vs Brass Rehearsal at 17:10:00,04/20/2026,05:10 PM,04/20/2026,06:00 PM,False,"Call Time: 17:10:00
Start Time: 17:10:00
Conductor: ALL",Dem Hall Ballroom,True
